어린이집명,시도명,시군구명,어린이집유형구분,정원수,보육교직원수,소재지도로명주소,어린이집전화번호,어린이집팩스번호,보육실수,놀이터수,CCTV설치수,통학차량운영여부,홈페이지주소,데이터기준일자
동화숲 어린이집,전라남도,전라남도,목포시,20,7,전라남도 목포시 남악2로22번길 58   모아엘가 107동 104호,061-980-3472,061-980-3472,3,1,4,운영(신고),http://info.childcare.go.kr,2020-06-30
동화코코어린이집,전라남도,전라남도,목포시,20,8,전라남도 목포시 청호로 210 신안비치팔레스 113동 103호,061-272-1148,061-272-1148,3,3,4,운영(신고),http://info.childcare.go.kr,2020-06-30
라송어린이집,전라남도,전라남도,목포시,27,11,전라남도 목포시 청호로136번길 22 라송센트럴카운티2차,061-273-0079,061-273-3355,3,0,8,운영(신고),http://info.childcare.go.kr,2020-06-30
로뎀나무어린이집,전라남도,전라남도,목포시,20,5,"전라남도 목포시 평화로20번길 11 505동 103호(상동, 우미파크빌아파트)",061-284-3440,061-284-3440,3,0,4,운영(신고),http://info.childcare.go.kr,2020-06-30
리틀 어린이집,전라남도,전라남도,목포시,17,4,전라남도 목포시 삼향천로 113 202동107호 (옥암동 우미2차),061-281-0771,,3,1,4,운영(신고),http://info.childcare.go.kr,2020-06-30
리틀키즈어린이집,전라남도,전라남도,목포시,20,4,"전라남도 목포시 당가두로13번길 7 105동 101호(옥암동, 옥암부영사랑으로1차아파트)",061-282-3950,061-281-3951,3,0,4,운영(신고),http://info.childcare.go.kr,2020-06-30
마리아몬테소리어린이집,전라남도,전라남도,목포시,20,5,"전라남도 목포시 원산중앙로 109-1 506동 103호(연산동, 주공아파트)",061-274-0688,061-980-0680,3,1,4,운영(신고),http://info.childcare.go.kr,2020-06-30
목포YWCA어린이집,전라남도,전라남도,목포시,104,12,전라남도 목포시 백년대로337번길 23,061-281-9960,061-281-2030,6,1,12,운영(신고),http://info.childcare.go.kr,2020-06-30
무지개어린이집,전라남도,전라남도,목포시,20,5,전라남도 목포시 용당로 323 2동102호(용해동라이프1차아파트),061-274-9770,061-274-9770,4,0,4,운영(신고),http://info.childcare.go.kr,2020-06-30
미소천사 어린이집,전라남도,전라남도,목포시,16,6,"전라남도 목포시 원산중앙로 87 303동 105호(연산동, 연산주공3단지)",061-274-9867,061-274-9867,4,4,4,운영(신고),http://info.childcare.go.kr,2020-06-30
민족사관어린이집,전라남도,전라남도,목포시,203,30,전라남도 목포시 정의로 26-14,061-281-3979,061-281-2322,14,2,25,운영(신고),http://info.childcare.go.kr,2020-06-30
백제어린이집,전라남도,전라남도,목포시,20,6,"전라남도 목포시 옥암로 165 202동 101호(상동, 광명샤인빌2차)",061-283-7369,061-283-7365,3,0,4,운영(신고),http://info.childcare.go.kr,2020-06-30
베베숲 어린이집,전라남도,전라남도,목포시,20,5,"전라남도 목포시 남악1로52번길 83 103동 102호(옥암동, 근화베아체)",061-272-2777,,4,0,4,운영(신고),http://info.childcare.go.kr,2020-06-30
베비아띠어린이집,전라남도,전라남도,목포시,20,8,"전라남도 목포시 남악2로22번길 15 104동 101호(옥암동, 우미파렌하이트)",061-980-8992,,3,0,4,미운영,http://info.childcare.go.kr,2020-06-30
베스트어린이집,전라남도,전라남도,목포시,18,1,전라남도 목포시 백년대로375번길 30 하당금호202동104호,061-281-4405,061-284-4405,3,0,4,미운영,http://info.childcare.go.kr,2020-06-30
베아채 어린이집,전라남도,전라남도,목포시,42,6,전라남도 목포시 남악1로52번길 83 옥암베아채아파트,061-285-2400,061-285-2400,4,0,6,운영(신고),http://info.childcare.go.kr,2020-06-30
베키어린이집,전라남도,전라남도,목포시,274,34,전라남도 목포시 삼향천로 84 (옥암동),061-279-2323,061-279-2324,14,3,18,운영(신고),bekischool.com,2020-06-30
별아이어린이집,전라남도,전라남도,목포시,20,8,"전라남도 목포시 영산로535번길 6 105동 106호(상동, 호반리젠시빌)",061-284-0623,061-284-0623,3,1,4,운영(신고),http://info.childcare.go.kr,2020-06-30
보물섬어린이집,전라남도,전라남도,목포시,20,7,"전라남도 목포시 양을로 91 102동 101호(산정동, 일신)",061-277-6871,061-279-2300,3,0,4,운영(신고),http://info.childcare.go.kr,2020-06-30
블루빌 어린이집,전라남도,전라남도,목포시,20,7,"전라남도 목포시 텃골로13번길 26 303동 107호(석현동, 근화블루빌)",061-980-2012,061-980-2012,3,2,4,운영(신고),http://info.childcare.go.kr,2020-06-30
비전어린이집,전라남도,전라남도,목포시,39,10,전라남도 목포시 통일대로37번길 33 하당현대아파트 보육시설동,061-281-2807,,4,0,8,운영(신고),http://info.childcare.go.kr,2020-06-30
비타민어린이집,전라남도,전라남도,목포시,20,7,전라남도 목포시 용해지구로88번길 23 508동104호(용해동 골드디움 5차),061-278-2640,061-278-2640,3,1,4,운영(신고),http://info.childcare.go.kr,2020-06-30
빌리앙뜨어린이집,전라남도,전라남도,목포시,20,6,전라남도 목포시 옥암로 174 빌리앙뜨103-104,061-283-7354,061-283-7354,4,1,5,운영(신고),http://info.childcare.go.kr,2020-06-30
빛과소금영아전담어린이집,전라남도,전라남도,목포시,39,10,전라남도 목포시 온남길3번길 23-6,061-279-3555,061-279-3559,7,1,8,운영(신고),http://info.childcare.go.kr,2020-06-30
뽀로로붐어린이집,전라남도,전라남도,목포시,20,5,"전라남도 목포시 삼학로 363 105동 101호(용해동, 신안인스빌아파트)",061-285-6622,,4,1,4,운영(신고),http://info.childcare.go.kr,2020-06-30
뽀뽀뽀어린이집,전라남도,전라남도,목포시,20,7,"전라남도 목포시 평화로107번길 16 604동 101호(옥암동, 우미오션빌)",061-283-5943,,3,0,4,운영(신고),http://info.childcare.go.kr,2020-06-30
뿡뿡이어린이집,전라남도,전라남도,목포시,20,8,전라남도 목포시 하당로213번길 3 (상동),061-284-5252,061-284-5270,4,0,4,운영(신고),http://info.childcare.go.kr,2020-06-30
삐아제 어린이집,전라남도,전라남도,목포시,20,5,전라남도 목포시 양을로 39-1,061-274-0094,061-274-0094,3,0,4,운영(신고),http://info.childcare.go.kr,2020-06-30
사과나무어린이집,전라남도,전라남도,목포시,20,7,"전라남도 목포시 백년대로375번길 30 205동 101호(옥암동, 하당금호2차아파트)",061-282-6982,061-282-1000,3,0,4,운영(신고),http://info.childcare.go.kr,2020-06-30
사랑가득어린이집,전라남도,전라남도,목포시,20,9,"전라남도 목포시 영산로 607 107동 106호(석현동, 우진아트빌)",061-285-1052,,3,0,4,운영(신고),http://info.childcare.go.kr,2020-06-30
사랑나무어린이집,전라남도,전라남도,목포시,20,7,"전라남도 목포시 당가두로13번길 35 201동 102호(옥암동,부영애시앙)",061-281-5344,061-281-5344,3,0,4,운영(신고),http://info.childcare.go.kr,2020-06-30
사랑의교회어린이집,전라남도,전라남도,목포시,159,22,전라남도 목포시 복산길6번길 7 (옥암동),061-284-9992,061-284-9994,9,2,16,운영(신고),http://info.childcare.go.kr,2020-06-30
사랑채움 어린이집,전라남도,전라남도,목포시,20,7,"전라남도 목포시 남악1로52번길 83 105동105호(옥암동, 근화베아체)",061-274-5050,061-274-6060,3,1,4,운영(신고),http://info.childcare.go.kr,2020-06-30
사회복지법인 명도어린이집,전라남도,전라남도,목포시,89,48,전라남도 목포시 하당로214번길 18 (상동),061-282-7400,061-282-7404,14,2,23,운영(신고),www.myongdo.kr,2020-06-30
사회복지법인 뽀뽀뽀 어린이집,전라남도,전라남도,목포시,87,12,전라남도 목포시 고하대로652번길 12 (산정동),061-277-5825,061-274-0492,7,1,9,운영(신고),http://info.childcare.go.kr,2020-06-30
사회복지법인 온유복지재단 또래어린이집,전라남도,전라남도,목포시,81,7,전라남도 목포시 다순구미로 18-1,061-242-0262,061-245-0262,10,1,8,운영(신고),http://info.childcare.go.kr,2020-06-30
사회복지법인 청운어린이집,전라남도,전라남도,목포시,99,11,전라남도 목포시 연산로124번길 4-6,061-277-5335,061-277-2656,8,1,11,운영(신고),http://info.childcare.go.kr,2020-06-30
사회복지법인 행복한복지재단 대양어린이집,전라남도,전라남도,목포시,79,12,전라남도 목포시 대박길63번길 33 (대양동),061-282-0445,061-281-0443,6,4,9,운영(신고),http://info.childcare.go.kr,2020-06-30
사회복지법인백합어린이집,전라남도,전라남도,목포시,117,11,전라남도 목포시 용당로15번길 24 (산정동),061-244-0093,061-242-0093,9,1,11,운영(신고),http://info.childcare.go.kr,2020-06-30
사회복지법인신나는복지재단신나는어린이집,전라남도,전라남도,목포시,153,21,전라남도 목포시 관해로16번길 18 (용해동),061-274-8010,061-274-2195,10,1,16,운영(신고),http://info.childcare.go.kr,2020-06-30
사회복지법인에덴어린이집,전라남도,전라남도,목포시,78,14,전라남도 목포시 돌산길28번길 10 (산정동),061-244-1363,061-245-1363,5,1,10,운영(신고),http://info.childcare.go.kr,2020-06-30
사회복지법인중앙어린이집,전라남도,전라남도,목포시,130,20,전라남도 목포시 터진목로21번길 20 (산정동),061-244-8169,061-242-5353,10,2,32,운영(신고),http://info.childcare.go.kr,2020-06-30
사회복지법인희망어린이집,전라남도,전라남도,목포시,123,9,전라남도 목포시 중화길13번길 9  -1,061-277-6791,061-277-0993,8,1,9,운영(신고),http://info.childcare.go.kr,2020-06-30
산들아이어린이집,전라남도,전라남도,목포시,20,6,전라남도 목포시 양을로 42 104동 104호 (대성LH 천년나무 아파트),061-276-3222,061-276-3222,3,0,4,운영(신고),http://info.childcare.go.kr,2020-06-30
삼성어린이집,전라남도,전라남도,목포시,69,11,전라남도 목포시 백년대로412번길 20 (옥암동),061-282-5880,061-284-1080,8,1,7,운영(신고),http://info.childcare.go.kr,2020-06-30
새꿈담는우리어린이집,전라남도,전라남도,목포시,50,11,전라남도 목포시 원산주택로 10-1,061-279-2575,061-272-2733,7,1,0,운영(신고),cafe.daum.net/saekkum,2020-06-30
샛별어린이집,전라남도,전라남도,목포시,75,11,전라남도 목포시 원산정로 9 (산정동),061-276-5418,,7,1,9,운영(신고),http://info.childcare.go.kr,2020-06-30
샤론어린이집,전라남도,전라남도,목포시,120,11,전라남도 목포시 하당로 12 신안꿈동산아파트 단지내,061-282-4242,061-282-8207,6,2,10,운영(신고),http://info.childcare.go.kr,2020-06-30
서남장애어린이집,전라남도,전라남도,목포시,46,22,전라남도 목포시 신죽길30번길 14-5 서남장애어린이집 (죽교동),061-242-7942,061-242-3288,13,1,16,운영(신고),http://cafe.daum.net/seonam2003,2020-06-30
서해지방해양경찰청어린이집,전라남도,전라남도,목포시,70,13,전라남도 목포시 남악로162번길 25,061-284-4579,061-284-6579,6,1,8,미운영,http://info.childcare.go.kr,2020-06-30
성균관어린이집,전라남도,전라남도,목포시,200,25,전라남도 목포시 남악1로42번길 5 (옥암동),061-285-8544,061-285-8546,13,2,23,운영(신고),http://info.childcare.go.kr,2020-06-30
성덕어린이집,전라남도,전라남도,목포시,126,19,전라남도 목포시 북항로 109,061-244-0282,061-242-0281,10,1,11,운영(신고),http://info.childcare.go.kr,2020-06-30
소현어린이집,전라남도,전라남도,목포시,20,6,전라남도 목포시 당가두로13번길 9 애시앙 아파트 107동 101호,061-283-5009,061-283-5077,4,0,5,운영(신고),http://info.childcare.go.kr,2020-06-30
솔로몬어린이집,전라남도,전라남도,목포시,250,39,전라남도 목포시 석현마을길 3 (석현동),061-285-0119,061-284-6128,15,2,24,운영(신고),http://info.childcare.go.kr,2020-06-30
송림어린이집,전라남도,전라남도,목포시,20,5,"전라남도 목포시 삼학로 303-3 2동 103호(용해동, 동아아파트)",061-276-7176,,4,1,7,운영(신고),http://info.childcare.go.kr,2020-06-30
숲속둥지어린이집,전라남도,전라남도,목포시,20,5,"전라남도 목포시 석현로 42 102동 106호(석현동, 광명샤인빌)",061-284-2782,061-284-2781,3,2,4,운영(신고),http://info.childcare.go.kr,2020-06-30
숲속친구 어린이집,전라남도,전라남도,목포시,65,16,전라남도 목포시 영산로565번길 23 상동 광신프로그래스 내,061-287-3831,,6,1,7,운영(신고),http://info.childcare.go.kr,2020-06-30
스마일어린이집,전라남도,전라남도,목포시,20,7,"전라남도 목포시 부흥로 12 106동 103호(상동, 삼성)",061-281-0788,061-281-0788,3,3,4,운영(신고),http://info.childcare.go.kr,2020-06-30
스토리힐즈어린이집,전라남도,전라남도,목포시,192,29,전라남도 목포시 관해로 71 (용해동),061-278-1001,061-278-0030,13,3,22,운영(신고),http://info.childcare.go.kr,2020-06-30
시립옥암주공2차어린이집,전라남도,전라남도,목포시,36,8,전라남도 목포시 남악1로52번길 53,061-284-5335,061-284-9339,5,0,6,운영(신고),http://info.childcare.go.kr,2020-06-30
신흥어린이집,전라남도,전라남도,목포시,88,7,전라남도 목포시 하당로44번길 5 (상동),061-283-0456,061-283-0456,5,2,6,운영(신고),http://info.childcare.go.kr,2020-06-30
아기나무어린이집,전라남도,전라남도,목포시,20,7,"전라남도 목포시 하당로289번길 6 301동 103호(옥암동, 제일하이빌3차아파트)",061-283-7991,,3,0,4,운영(신고),http://info.childcare.go.kr,2020-06-30
아기별어린이집,전라남도,전라남도,목포시,20,5,"전라남도 목포시 안장산로 47 101동 101호(용해동, 거성제니스빌)",061-277-8881,061-277-8881,3,1,4,운영(신고),http://info.childcare.go.kr,2020-06-30
아기천사어린이집,전라남도,전라남도,목포시,20,6,"전라남도 목포시 영산로 610 104동 103호(석현동, 대성사랑으로아파트)",061-281-1652,061-281-1652,3,0,4,운영(신고),http://info.childcare.go.kr,2020-06-30
아뜰리에어린이집,전라남도,전라남도,목포시,92,10,전라남도 목포시 죽교천로132번길 10 (산정동),061-247-9300,061-247-9301,6,0,6,운영(신고),abestkids.com,2020-06-30
아띠모아어린이집,전라남도,전라남도,목포시,20,8,"전라남도 목포시 남악2로22번길 58 108동 104호(옥암동, 모아엘가아파트)",061-283-3331,061-283-3331,3,0,4,운영(신고),http://info.childcare.go.kr,2020-06-30
아띠키즈어린이집,전라남도,전라남도,목포시,20,3,"전라남도 목포시 영산로565번길 23 103동 102호(상동, 광신프로그레스)",061-285-9940,061-285-9940,3,0,4,운영(신고),http://info.childcare.go.kr,2020-06-30
아마데우스어린이집,전라남도,전라남도,목포시,20,6,"전라남도 목포시 영산로 610 103동 106호(석현동, 대성사랑으로아파트)",061-281-0545,061-281-0545,3,1,4,운영(신고),http://info.childcare.go.kr,2020-06-30
아이꿈터어린이집,전라남도,전라남도,목포시,49,8,전라남도 목포시 청호로219번길 51 신안실크밸리7차아파트 703동 1층,061-281-5151,061-281-5151,5,1,10,운영(신고),http://info.childcare.go.kr,2020-06-30
아이사랑어린이집,전라남도,전라남도,목포시,20,5,전라남도 목포시 용해지구로88번길 8 602동 101호(용해동  골드디움 6차),061-278-6020,061-278-6020,3,0,4,운영(신고),http://info.childcare.go.kr,2020-06-30
아이소리 어린이집,전라남도,전라남도,목포시,20,5,"전라남도 목포시 고하대로 641-10 202동 102호(산정동, 신안비아파트)",061-272-8900,061-272-8900,3,0,4,운영(신고),http://info.childcare.go.kr,2020-06-30
아이조아어린이집,전라남도,전라남도,목포시,300,29,전라남도 목포시 남악2로52번길 5-5,061-282-7004,061-282-7024,14,1,19,운영(신고),http://info.childcare.go.kr,2020-06-30
아이조은어린이집,전라남도,전라남도,목포시,20,3,전라남도 목포시 남악2로22번길 58 (부주동)모아엘가 104-102,061-283-7573,061-284-0150,3,1,4,미운영,http://info.childcare.go.kr,2020-06-30
아이친구어린이집,전라남도,전라남도,목포시,91,7,전라남도 목포시 용당로331번길 82 호반리젠시빌,061-273-2211,061-273-2210,6,1,15,운영(신고),http://info.childcare.go.kr,2020-06-30
아이키즈어린이집,전라남도,전라남도,목포시,129,14,전라남도 목포시 삼학로183번길 7 (산정동),061-278-7408,061-278-7409,10,2,18,운영(신고),http://info.childcare.go.kr,2020-06-30
아인슈타인어린이집,전라남도,전라남도,목포시,20,6,"전라남도 목포시 하당남부로 25 113동 102호(상동, 꿈동산신안1차아파트)",061-283-2335,,3,0,4,운영(신고),http://info.childcare.go.kr,2020-06-30
아해누리유아스쿨어린이집,전라남도,전라남도,목포시,297,33,전라남도 목포시 관해로5번길 22 (용해동),061-278-3345,061-278-3349,14,2,32,운영(신고),cafe.naver.com/a3346.cafe,2020-06-30
아해뜰어린이집,전라남도,전라남도,목포시,96,22,전라남도 목포시 관해로5번길 34 (용해동),061-278-2772,061-279-2772,9,3,18,운영(신고),cafe.naver.com/a2772,2020-06-30
애플키즈어린이집,전라남도,전라남도,목포시,49,5,전라남도 목포시 양을로33번길 20 (산정동),061-279-1203,061-276-1008,6,1,6,운영(신고),http://info.childcare.go.kr,2020-06-30
애플펀어린이집,전라남도,전라남도,목포시,160,17,전라남도 목포시 안장산로 40 (용해동),061-274-7531,061-276-3085,9,1,16,운영(신고),http://info.childcare.go.kr,2020-06-30
야베스어린이집,전라남도,전라남도,목포시,20,5,"전라남도 목포시 평화로153번길 1 304동 107호(옥암동, 우미블루빌)",061-284-7011,,3,1,4,운영(신고),http://info.childcare.go.kr,2020-06-30
어울림어린이집,전라남도,전라남도,목포시,20,6,전라남도 목포시 텃골로33번길 53 석현동 금호어울림아파트105동101호,061-981-5122,061-981-5122,3,0,4,운영(신고),http://info.childcare.go.kr,2020-06-30
엄마사랑어린이집,전라남도,전라남도,목포시,20,7,"전라남도 목포시 평화로107번길 16 605동 107호(옥암동, 우미오션빌아파트)",061-284-5933,061-282-5934,4,1,4,운영(신고),http://info.childcare.go.kr,2020-06-30
에벤에셀 어린이집,전라남도,전라남도,목포시,20,6,전라남도 목포시 원산로31번길 4-2 (산정동),,,3,0,4,운영(신고),http://info.childcare.go.kr,2020-06-30
엔젤 어린이집,전라남도,전라남도,목포시,93,16,전라남도 목포시 교육로 81 엔젤 어린이집 (상동),061-282-3875,061-284-3875,7,1,13,운영(신고),kidangel.or.kr,2020-06-30
엘가어린이집,전라남도,전라남도,목포시,38,13,전라남도 목포시 남악2로22번길 58 (옥암동),061-287-7970,,4,0,4,운영(신고),http://info.childcare.go.kr,2020-06-30
엘리트어린이집,전라남도,전라남도,목포시,20,5,"전라남도 목포시 신흥로 29 108동 103호(상동, 동아)",061-284-0377,,3,0,4,운영(신고),http://info.childcare.go.kr,2020-06-30
연산어린이집,전라남도,전라남도,목포시,48,11,전라남도 목포시 원산로145번안길 3-4,061-272-0669,061-272-2599,5,2,8,운영(신고),http://info.childcare.go.kr,2020-06-30
열린어린이집,전라남도,전라남도,목포시,99,19,전라남도 목포시 산정로47번길 5 (산정동),061-244-8876,061-242-8876,9,2,12,운영(신고),https://www.kidsnote.com,2020-06-30
영재어린이집,전라남도,전라남도,목포시,20,4,"전라남도 목포시 당가두로13번길 9 전라남도 목포시 당가두로 13번길 9, 109동101호",061-287-0919,061-287-0919,3,0,4,운영(신고),http://info.childcare.go.kr,2020-06-30
예쁘다어린이집,전라남도,전라남도,목포시,99,15,전라남도 목포시 죽교천로30번길 8 (산정동),061-278-0044,061-272-7111,6,2,8,운영(신고),http://info.childcare.go.kr,2020-06-30
예쁜미소어린이집,전라남도,전라남도,목포시,20,6,"전라남도 목포시 삼학로 363 107동 103호(용해동, 신안인스빌)",061-277-6677,061-277-6678,3,2,4,운영(신고),http://info.childcare.go.kr,2020-06-30
예원어린이집,전라남도,전라남도,목포시,31,7,전라남도 목포시 원산중앙로 87,061-276-0681,061-276-0681,4,0,5,운영(신고),http://info.childcare.go.kr,2020-06-30
예지원 어린이집,전라남도,전라남도,목포시,20,7,"전라남도 목포시 삼학로 363 101동 103호(용해동, 신안인스빌아파트)",061-278-0784,061-278-0784,3,1,4,운영(신고),http://info.childcare.go.kr,2020-06-30
예향어린이집,전라남도,전라남도,목포시,73,9,전라남도 목포시 도룡길 51-1 예향어린이집 (석현동),061-283-5030,061-281-7346,5,1,8,운영(신고),http://cafe.daum.net/yh7346,2020-06-30
온누리 어린이집,전라남도,전라남도,목포시,20,5,전라남도 목포시 신흥로 13 우성아파트108동 103호,,061-284-3446,3,0,4,운영(신고),http://info.childcare.go.kr,2020-06-30
옹달샘 어린이집,전라남도,전라남도,목포시,20,7,"전라남도 목포시 하당로289번길 21 502동 106호(옥암동, 제일하이빌5차아파트)",061-282-3734,061-282-3734,3,1,4,운영(신고),http://info.childcare.go.kr,2020-06-30
왕자와공주어린이집,전라남도,전라남도,목포시,20,4,"전라남도 목포시 신흥로 111 203동 101호(옥암동, 제일하이빌2차아파트)",061-283-1620,,3,1,4,운영(신고),http://info.childcare.go.kr,2020-06-30
용호어린이집,전라남도,전라남도,목포시,79,6,전라남도 목포시 용당로77번길 12 (산정동),061-244-6442,061-273-0357,6,1,8,운영(신고),http://info.childcare.go.kr,2020-06-30
우리두리 어린이집,전라남도,전라남도,목포시,20,3,"전라남도 목포시 산정로 298 105동 103호(연산동, 현대)",061-272-1969,061-272-1969,3,0,4,운영(신고),http://info.childcare.go.kr,2020-06-30
